dangen		gamepad!									
darkplaces				could not get it to work							
darkplaces-server				not found							
dds				not a game							
deal		text based. No controls									
dealer				text based, don't understand it							
defendguin		gamepad!									
defendguin-data				not found							
desmume				could not get it to work							
deutex				could not get it to work							
dizzy		mouse, could use gamepad emulation									
dodgindiamond2		gamepad! Needs setting in options			not sure about leaderboard						
doomsday				keyboard and mouse only							
dopewars				keyboard and mouse only							
dopewars-data				not found							
dossizola		mouse, could use gamepad emulation									
dossizola-data				not found							
drascula		keyboard and mouse, could use gamepad emulation									
drascula-french				not found							
drascula-german				not found							
drascula-italian				not found							
drascula-music				not found							
drascula-spanish				not found							
dreamchess		gamepad!									
dreamchess-data				not found							
dvorak7min				text based, keyboard only							
eboard		mouse, could use gamepad emulation									
eboard-extras-pack1				not found							
efp				could not get it to work							
einstein		mouse, could use gamepad emulation									
emacs-chess				could not get it to work							
ember-media				could not get it to work							
empire				text based, keyboard only							
empire-hub				not found							
empire-lafe				not found							
enemylines3		keyboard and mouse, could use gamepad emulation									
enemylines7		keyboard (optional mouse), could use gamepad emulation									
enigma		keyboard and mouse, could use gamepad emulation									
enigma-data				not found							
epiphany				could not get it to work							
epiphany-data				not found							
etw		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
etw-data				not found							
excellent-bifurcation		keyboard, could use gamepad emulation									
extremetuxracer				could not get it to work							
extremetuxracer-data				not found							
extremetuxracer-dbg				not found							
extremetuxracer-extras				not found							
extremetuxracer-gimp-dev				not found							
fairymax				text based, keyboard only							
fb-music-high				not found							
fceu				not found							
ffrenzy		keyboard, could use gamepad emulation				multiplayer only					
fgfs-aircraft-base				not found							
fgfs-base				not found							
fgfs-models-base				not found							
fgfs-scenery-base				not found							
fgo				could not get it to work		mouse only, flightgear launcher					
fgrun				could not get it to work							
filler		mouse, could use gamepad emulation									
fillets-ng				not found							
fillets-ng-data				not found							
fillets-ng-data-cs				not found							
fillets-ng-data-nl				not found							
filters				text based, keyboard only		lol					
five-or-more		mouse, could use gamepad emulation									
fizmo				could not get it to work							
fizmo-common				not found							
fizmo-console				not found							
fizmo-ncursesw				could not get it to work							
flare		gamepad half works, with configuration, otherwise uses keyboard (mouse optional) and could use gamepad emulation									
flare-data				not found							
flight-of-the-amazon-queen				not found							
flightgear				not found							
flightgear-data-ai				not found							
flightgear-data-aircrafts				not found							
flightgear-data-all				not found							
flightgear-data-base				not found							
flightgear-data-models				not found							
flobopuyo		gamepad works, need key mapping though									
fltk1.1-games				not found							
fltk1.3-games				not found							
fofix				could not get it to work		needs tunes I think					
foobillard				not found							
foobillardplus		keyboard and mouse, could use gamepad emulation				buggy graphics					
foobillardplus-data				not found							
fortune-mod				not found							
fortune-zh		text based. No controls									
fortunes				not found		possibly “fortune” command, which is text based and has no controls					
fortunes-bg				not found							
fortunes-bofh-excuses				not found							
fortunes-br				not found							
fortunes-cs				not found							
fortunes-de				not found							
fortunes-debian-hints				not found							
fortunes-eo				not found							
fortunes-eo-ascii				not found							
fortunes-eo-iso3				not found							
fortunes-es				not found							
fortunes-es-off				not found							
fortunes-fr				not found							
fortunes-ga				not found							
fortunes-it				not found							
fortunes-it-off				not found							
fortunes-mario				not found							
fortunes-min				not found							
fortunes-off				not found							
fortunes-pl				not found							
fortunes-ru				not found							
four-in-a-row		mouse, could use gamepad emulation									
freealchemist		keyboard, could use gamepad emulation									
freecell-solver-bin				not a game							
freedink		gamepad!									
freedink-data				not found							
freedink-dfarc		mouse, could use gamepad emulation									
freedink-engine				not found							
freedink-engine-dbg				not found							
freedm		says can use joystick, but couldn't get to work, otherwise uses keyboard (mouse optional) and could use gamepad emulation									
freedoom				not found							
freedroid		gamepad half works, otherwise uses keyboard (mouse optional) and could use gamepad emulation									
freedroid-data				not found							
freedroidrpg		keyboard and mouse, could use gamepad emulation				start with “freedroidRPG”					
freedroidrpg-data				not found							
freegish		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation									
freegish-data				not found							
freesweep				keyboard only		text based					
freetennis		keyboard and mouse, could use gamepad emulation				breaks screen resolution after error			possibly due to perm_lock		
freetennis-common				not found							
freevial		keyboard, could use gamepad emulation									
fretsonfire		keyboard, could use gamepad emulation									
fretsonfire-game				not found							
fretsonfire-songs-muldjord				not found							
fretsonfire-songs-sectoid				not found							
frotz				emulator							
frozen-bubble		keyboard, could use gamepad emulation									
frozen-bubble-data				not found							
fruit				could not get it to work		text based?					
funguloids		keyboard, could use gamepad emulation				bit jerky					
funguloids-data				not found							
funnyboat		gamepad half works, otherwise uses keyboard and could use gamepad emulation					thumbstick too sensitive		no escape button		
gamazons		mouse, could use gamepad emulation									
gameclock		mouse, could use gamepad emulation									
gamine		keyboard and mouse, could use gamepad emulation									
gamine-data				not found							
garden-of-coloured-lights		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation							run with “garden”		
garden-of-coloured-lights-data				not found							
gargoyle-free				interactive fiction							
gav		keyboard, could use gamepad emulation									
gav-themes				not found							
gbrainy				keyboard and mouse only							
gcompris				keyboard and mouse only							
gcompris-data				not found							
gcompris-dbg				not found							
gcompris-sound-af				not found							
gcompris-sound-ar				not found							
gcompris-sound-ast				not found							
gcompris-sound-bg				not found							
gcompris-sound-br				not found							
gcompris-sound-cs				not found							
gcompris-sound-da				not found							
gcompris-sound-de				not found							
gcompris-sound-el				not found							
gcompris-sound-en				not found							
gcompris-sound-eo				not found							
gcompris-sound-es				not found							
gcompris-sound-eu				not found							
gcompris-sound-fi				not found							
gcompris-sound-fr				not found							
gcompris-sound-he				not found							
gcompris-sound-hi				not found							
gcompris-sound-hu				not found							
gcompris-sound-id				not found							
gcompris-sound-it				not found							
gcompris-sound-mr				not found							
gcompris-sound-nb				not found							
gcompris-sound-nl				not found							
gcompris-sound-nn				not found							
gcompris-sound-pa				not found							
gcompris-sound-pt				not found							
gcompris-sound-ptbr				not found							
gcompris-sound-ru				not found							
gcompris-sound-sl				not found							
gcompris-sound-so				not found							
gcompris-sound-sr				not found							
gcompris-sound-sv				not found							
gcompris-sound-th				not found							
gcompris-sound-tr				not found							
gcompris-sound-ur				not found							
gcompris-sound-zhcn				not found							
gearhead				keyboard only		text based					
gearhead-data				not found							
gearhead2		keyboard, could use gamepad emulation									
gearhead2-data				not found		text based					
geekcode				keyboard only		text based					
geki2		keyboard, could use gamepad emulation									
geki3		keyboard, could use gamepad emulation									
gemdropx		gamepad half works, otherwise uses keyboard and could use gamepad emulation					no escape button				
gfpoken		mouse, could use gamepad emulation									
gl-117		keyboard and mouse, could use gamepad emulation				note, also says can use joystick but I don't think menus will work with them					
gl-117-data				not found							
glaurung				could not get it to work		text based	chess engine to calculate moves				
glchess				could not get it to work							
glhack				broken		due to perm_lock					
glines				not found							
glob2		keyboard and mouse, could use gamepad emulation									
glob2-data				not found							
glpeces		mouse, could use gamepad emulation									
glpeces-data				not found							
gltron		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation									
gmchess		mouse, could use gamepad emulation									
gmult		mouse, could use gamepad emulation									
gnect				not found							
gnibbles				not found							
gnobots2				not found							
gnome-breakout		mouse, could use gamepad emulation									
gnome-cards-data				not found							
gnome-chess		mouse, could use gamepad emulation									
gnome-hearts		mouse, could use gamepad emulation									
gnome-klotski		mouse, could use gamepad emulation									
gnome-mahjongg		mouse, could use gamepad emulation									
gnome-mastermind		mouse, could use gamepad emulation									
gnome-mines		mouse, could use gamepad emulation									
gnome-nibbles		keyboard and mouse, could use gamepad emulation									
gnome-robots		mouse, could use gamepad emulation									
gnome-tetravex		mouse, could use gamepad emulation									
gnomine				not found							
gnotravex				not found							
gnotski				not found							
gnubg		mouse, could use gamepad emulation									
gnubg-data				not found							
gnubik		mouse, could use gamepad emulation									
gnuchess				keyboard only		text based					
gnuchess-book				not found							
gnudoq		mouse, could use gamepad emulation									
gnugo				keyboard only		text based					
gnujump		keyboard, could use gamepad emulation									
gnujump-data				not found							
gnuminishogi				keyboard only		text based					
gnurobbo		keyboard, could use gamepad emulation									
gnurobots				keyboard only							
gnushogi				keyboard only		text based					
golly		mouse, could use gamepad emulation									
gomoku.app				keyboard only		text based					
gplanarity		mouse, could use gamepad emulation									
gpsshogi				keyboard only		text based					
gpsshogi-data				not found							
granule		mouse, could use gamepad emulation									
gravitation		gamepad half works, otherwise uses keyboard and could use gamepad emulation									
gravitywars		gamepad half works, otherwise uses keyboard and could use gamepad emulation					too sensitive thumbstick				
greed		keyboard, could use gamepad emulation				text based					
grhino		mouse, could use gamepad emulation									
grhino-data				not found							
gridlock.app				could not get it to work							
groundhog		mouse, could use gamepad emulation									
gsalliere		mouse, could use gamepad emulation		could not get it to work							
gtali				not found							
gtans		mouse, could use gamepad emulation									
gtkballs		mouse, could use gamepad emulation									
gtkboard		keyboard and mouse, could use gamepad emulation									
gtkpool		mouse, could use gamepad emulation									
gunroar		Gamepad!						all works except quit game			
gunroar-data				not found							
gvrng				not found		programming language					
gweled		mouse, could use gamepad emulation									
hannah		keyboard, could use gamepad emulation									
hannah-data				not found							
hearse				not a game		exchange nethack bones files with other players					
heroes-common				not found							
heroes-data				not found							
heroes-sdl		keyboard, could use gamepad emulation									
heroes-sound-effects				not found							
heroes-sound-tracks				not found							
hex-a-hop		keyboard, could use gamepad emulation									
hexalate		mouse, could use gamepad emulation									
hexxagon		mouse, could use gamepad emulation									
higan				emulator							
hitori		mouse, could use gamepad emulation									
hoichess				keyboard only		text based					
holdingnuts		mouse (optional keyboard), could use gamepad emulation									
holdingnuts-server				not found							
holotz-castle		keyboard, could use gamepad emulation									
holotz-castle-data				not found							
holotz-castle-editor				not found							
hyperrogue		keyboard, could use gamepad emulation									
hyperrogue-music				not found							
iagno		mouse, could use gamepad emulation									
icebreaker		mouse, could use gamepad emulation									
ii-esu		mouse, could use gamepad emulation									
infon-devel				keyboard and mouse only		programming game					
infon-server				keyboard and mouse only		programming game					
infon-viewer				keyboard and mouse only		programming game					
instead		keyboard and mouse, could use gamepad emulation				tutorial only					
instead-data				not found							
ioquake3				not found		game engine					
ioquake3-server				not found		game engine					
jester		mouse, could use gamepad emulation									
jigzo		mouse, could use gamepad emulation									
jigzo-data				not found							
jmdlx		mouse, could use gamepad emulation									
jumpnbump		gamepad!						all works except quit game			
jumpnbump-levels				not found							
jzip				infocom story interpreter							
kanatest				keyboard and mouse only							
kapman		keyboard (optional mouse), could use gamepad emulation						if only keyboard, needs quit game function			
katomic		mouse (optional keyboard), could use gamepad emulation									
kawari8				scripting language							
kball		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
kball-data				not found							
kblackbox		mouse, could use gamepad emulation									
kbounce		mouse, could use gamepad emulation									
kbreakout		keyboard (optional mouse), could use gamepad emulation						if only keyboard, needs quit game function			
kcheckers		mouse, could use gamepad emulation									
ketm		keyboard, could use gamepad emulation									
ketm-data				not found							
kfourinline		mouse, could use gamepad emulation									
kgoldrunner		mouse, could use gamepad emulation									
kiki-the-nano-bot		keyboard, could use gamepad emulation									
kiki-the-nano-bot-data				not found							
kildclient				keyboard and mouse only							
killbots		mouse, could use gamepad emulation									
kjumpingcube		mouse, could use gamepad emulation									
klickety		mouse, could use gamepad emulation									
klines		mouse, could use gamepad emulation									
knetwalk		mouse, could use gamepad emulation									
knights		mouse, could use gamepad emulation									
kobodeluxe		says can use joystick, but couldn't get to work, otherwise uses keyboard and could use gamepad emulation									
kobodeluxe-data				not found							
kollision		mouse, could use gamepad emulation									
komi		keyboard (optional mouse), could use gamepad emulation									
konquest				keyboard and mouse only							
koules		keyboard (optional mouse), could use gamepad emulation									
kpat		mouse, could use gamepad emulation									
krank		gamepad half works, otherwise uses keyboard and mouse and could use gamepad emulation						needs escape and pause buttons			
kraptor		says can use joystick, but couldn't get to work, otherwise uses keyboard and mouse and could possibly use gamepad emulation									
kraptor-data				not found							
kreversi		mouse, could use gamepad emulation									
ksirk		mouse, could use gamepad emulation									
kspaceduel		keyboard and mouse, could use gamepad emulation									
ksquares		mouse, could use gamepad emulation									
ktuberling		mouse, could use gamepad emulation									
kubrick		mouse, could use gamepad emulation									
laby				keyboard and mouse only							
late		mouse, could use gamepad emulation									
late-data				not found							
lbreakout2		keyboard, could use gamepad emulation									
lbreakout2-data				not found							
lgc-pg				could not get it to work							
lierolibre		keyboard, could use gamepad emulation				multiplayer only					
lierolibre-data				not found							
lightsoff		mouse, could use gamepad emulation									
lightyears		mouse, could use gamepad emulation									
lincity		keyboard and mouse, could use gamepad emulation									
lincity-ng		mouse, could use gamepad emulation									
lincity-ng-data				not found							
linthesia				requires music							
liquidwar		says can use joystick, but couldn't get to work, otherwise uses keyboard (mouse optional) and could use gamepad emulation									
liquidwar-data				not found							
liquidwar-server				not found							
littlewizard				not found		programming game					
littlewizard-data				not found							
lletters				not found							
lletters-media				not found							
lmarbles		mouse (optional keyboard), could use gamepad emulation									
lmemory		mouse, could use gamepad emulation									
lolcat				broken							
londonlaw				keyboard and mouse only, requires server							
lordsawar		keyboard and mouse, could use gamepad emulation									
lordsawar-data				not found							
love				game framework							
love-dbg				not found							
ltris		keyboard, could use gamepad emulation									
luola		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation									
luola-data				not found							
luola-levels				not found							
luola-nostalgy				not found							
lure-of-the-temptress		mouse, could use gamepad emulation				run with “lure”					
macopix-gtk2				could not get it to work		run with “macopix”					
madbomber		keyboard, could use gamepad emulation									
madbomber-data				not found							
magicmaze				broken							
magicor		gamepad half works, otherwise uses keyboard and could use gamepad emulation									
magicor-data				not found							
mah-jong		mouse, could use gamepad emulation									
mahjongg				not found							
mana				not found							
mana-data				not found							
manaplus				broken		video mode test does not complete					
manaplus-data				not found							
mancala				keyboard only		text based					
marsshooter		gamepad! (works with in-game keymapping)									
marsshooter-data				not found							
matanza				could not get it to work							
mazeofgalious				not found							
mazeofgalious-data				not found							
mednafen				emulator							
megaglest		keyboard and mouse, could use gamepad emulation									
megaglest-data				not found							
meritous		keyboard, could use gamepad emulation									
meritous-data				not found							
mgt				keyboard only		text based					
miceamaze		keyboard and mouse, could use gamepad emulation									
micropolis		mouse (optional keyboard), could use gamepad emulation									
micropolis-data				not found							
minetest				could not get it to work		requires map worlds					
minetest-data				not found							
minetest-mod-moreblocks				not found							
minetest-mod-moreores				not found							
minetest-mod-pipeworks				not found							
minetest-mod-worldedit				not found							
minetest-server				not found							
mirrormagic		keyboard and mouse, could use gamepad emulation									
mirrormagic-data				not found							
mmpong-caca				could not get it to work		it's a server					
mmpong-gl				broken		black screen					
mmpong-gl-data				not found							
mmpongd				could not get it to work							
mokomaze		keyboard, could use gamepad emulation				cant exit game		wrecks resolution when ending process			
monopd				not a game		monopoly game server					
monster-masher		keyboard and mouse, could use gamepad emulation									
monsterz		keyboard and mouse, could use gamepad emulation									
monsterz-data				not found							
moon-buggy		keyboard, could use gamepad emulation		text based							
moon-buggy-esd				not found							
moon-lander		keyboard, could use gamepad emulation									
moon-lander-data				not found							
moria				keyboard only		text based					
morris		mouse, could use gamepad emulation									
mousetrap		keyboard, could use gamepad emulation									
mu-cade		gamepad half works, otherwise uses keyboard and could use gamepad emulation					just needs exit button				
mu-cade-data				not found							
mudlet				keyboard and mouse only		mud					
mupen64plus				emulator							
mupen64plus-audio-all				not found							
mupen64plus-audio-sdl				not found							
mupen64plus-data				not found							
mupen64plus-input-all				not found							
mupen64plus-input-sdl				not found							
mupen64plus-rsp-all				not found							
mupen64plus-rsp-hle				not found							
mupen64plus-rsp-z64				not found							
mupen64plus-ui-console				not found							
mupen64plus-video-all				not found							
mupen64plus-video-arachnoid				not found							
mupen64plus-video-glide64				not found							
mupen64plus-video-glide64mk2				not found							
mupen64plus-video-rice				not found							
mupen64plus-video-z64				not found							
nestopia				emulator							
nethack-common				keyboard only		text based					
nethack-console				not found							
nethack-el				not found							
nethack-lisp				keyboard only		text based					
nethack-x11				not found							
netmaze		keyboard, could use gamepad emulation									
netpanzer				could not get it to work		could not connect to a server.					
netpanzer-data				not found							
netpanzer-dbg				not found							
netris		keyboard, could use gamepad emulation		text based		read man page for keyboard keys					
nettoe				keyboard only							
neverball		gamepad!									
neverball-common				not found							
neverball-data				not found							
neverball-dbg				not found							
neverputt		gamepad!									
neverputt-data				not found							
nexuiz		says can use joystick, but couldn't get to work, otherwise uses keyboard and mouse and could possibly use gamepad emulation									
nexuiz-data				not found							
nexuiz-music				not found							
nexuiz-server				not found							
nexuiz-textures				not found							
nikwi		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation					no escape button				
nikwi-data				not found							
ninix-aya				not found							
ninvaders		keyboard, could use gamepad emulation		text based							
njam		keyboard, could use gamepad emulation									
njam-data				not found							
noiz2sa		gamepad!				could use exit/escape button, but not necessary					
noiz2sa-data				not found							
nsnake		keyboard, could use gamepad emulation		text based							
numptyphysics		mouse, could use gamepad emulation									
ogamesim				Ogame console simulator							
ogamesim-www				Ogame console simulator							
omega-rpg				keyboard only		text based					
oneisenough		keyboard, could use gamepad emulation									
oneko				mouse only							
onscripter				could not get it to work		needs additional files					
oolite		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation									
oolite-data				not found							
oolite-data-sounds				not found							
open-invaders		keyboard, could use gamepad emulation									
open-invaders-data				not found							
openarena		says can use joystick, but couldn't get to work, otherwise uses keyboard and mouse and could possibly use gamepad emulation									
openarena-081-maps				not found							
openarena-081-misc				not found							
openarena-081-players				not found							
openarena-081-players-mature				not found							
openarena-081-textures				not found							
openarena-085-data				not found							
openarena-088-data				not found							
openarena-data				not found							
openarena-server				not found							
openbve				not found							
openbve-data				not found							
opencity		mouse, could use gamepad emulation									
opencity-data				not found							
openclonk		says can use joystick, but couldn't get to work, otherwise uses keyboard and mouse and could possibly use gamepad emulation									
openclonk-data				not found							
openpref		mouse, could use gamepad emulation									
openssn		mouse (optional keyboard), could use gamepad emulation									
openssn-data				not found							
openttd		keyboard and mouse, could use gamepad emulation									
openttd-data				not found							
openttd-opengfx				not found							
openttd-openmsx				not found							
openyahtzee				keyboard and mouse only							
orbital-eunuchs-sniper		keyboard and mouse, could use gamepad emulation									
orbital-eunuchs-sniper-data				not found							
overgod		keyboard, could use gamepad emulation									
overgod-data				not found							
pachi		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation					sensitivity too high on menu, no escape button				
pachi-data				not found							
pacman		keyboard, could use gamepad emulation									
pacman4console				could not get it to work		have to change screen resolution to play					
pangzero		gamepad! (works with in-game keymapping)				could use exit/escape button, but not necessary					
parsec47		gamepad!				could use exit/escape button, but not necessary					
parsec47-data				not found							
passage		gamepad half works, otherwise uses keyboard and could use gamepad emulation					no escape button				
pathogen		keyboard and mouse, could use gamepad emulation									
pathological		keyboard and mouse, could use gamepad emulation			didn't understand the controls						
pax-britannica		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation					no escape button				
pax-britannica-data				not found							
pcsxr				emulator							
peg-e		mouse, could use gamepad emulation									
peg-solitaire		mouse, could use gamepad emulation									
pegsolitaire		mouse, could use gamepad emulation									
penguin-command		keyboard and mouse, could use gamepad emulation									
pennmush				could not get it to work							
pennmush-common				not found							
pennmush-i18n				not found							
pennmush-mysql				not found							
pente		mouse, could use gamepad emulation									
pentobi		mouse, could use gamepad emulation									
performous		keyboard, could use gamepad emulation									
performous-dbg				not found							
performous-tools				not found							
pescetti				keyboard only		text based					
petris		keyboard, could use gamepad emulation		text based		could use exit button, but not necessary					
pgn-extract				portable game notation extractor							
phalanx				keyboard only		text based					
phlipple		keyboard (optional mouse), could use gamepad emulation									
phlipple-data				not found							
pianobooster				requires music							
pinball		keyboard, could use gamepad emulation									
pinball-data				not found							
pinball-dev				not found							
pingus		keyboard and mouse, could use gamepad emulation									
pingus-data				not found							
pink-pony		keyboard and mouse, could use gamepad emulation				(the best game of them all)					
pink-pony-data				not found							
pioneers				keyboard and mouse only							
pioneers-console				not found							
pioneers-console-data				not found							
pioneers-data				not found							
pioneers-meta-server				not found							
pipenightdreams		keyboard, could use gamepad emulation									
pipenightdreams-data				not found							
pipewalker		mouse, could use gamepad emulation									
pixbros				broken		no graphics					
pixfrogger		keyboard, could use gamepad emulation									
planetpenguin-racer				not found							
planetpenguin-racer-extras				not found							
planetpenguin-racer-gimp-dev				not found							
plee-the-bear		gamepad! (works with in-game keymapping)									
plee-the-bear-data				not found							
polygen				generator of random sentences from grammar definitions							
polygen-data				not found							
polyglot				could not get it to work		cant open polyglot.ini					
pong2				could not get it to work		stuck waiting for opponent (couldn't close)					
powermanga		gamepad!									
powermanga-data				not found							
prboom		says can use joystick, but couldn't get to work, otherwise uses keyboard (mouse optional) and could use gamepad emulation									
prboom-plus				not found							
prboom-plus-game-server				not found							
primrose		mouse, could use gamepad emulation									
projectl		gamepad half works, otherwise uses keyboard and could possibly use gamepad emulation					no escape button				
purity				keyboard only		text based					
purity-ng				keyboard only		text based					
purity-off				not found							
pybik		mouse, could use gamepad emulation									
pybik-bin				not found							
pybridge				could not get it to work		needs to connect to a server					
